,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
328,Zhezkazgan,KZ,47.8043,67.7144,24.8,86,90,22.37,1612757945
329,Ilulissat,GL,69.2167,-51.1,19.4,42,0,29.93,1612757945
330,Hithadhoo,MV,-0.6,73.0833,82.04,73,29,11.39,1612757945
331,Husavik,IS,66.0449,-17.3389,32.0,74,20,3.44,1612757945
332,Tortolì,IT,39.9256,9.6572,50.0,37,0,13.8,1612757946
333,Mashhad,IR,36.297,59.6062,53.6,62,40,9.22,1612757946
334,Amapá,BR,1.0,-52.0,71.91,98,100,2.89,1612757946
335,Anadyr,RU,64.75,177.4833,8.6,61,100,20.13,1612757946
336,Katangli,RU,51.7102,143.2326,6.78,94,100,22.46,1612757947
337,Fairview,US,40.8126,-73.999,28.4,68,1,12.66,1612757947
338,Bogandinskiy,RU,56.8937,65.8938,-7.6,71,0,8.95,1612757947
339,Esperance,AU,-33.8667,121.9,87.8,37,40,24.16,1612757947
340,Nouakchott,MR,18.0858,-15.9785,59.0,36,0,9.22,1612757948
341,Oktyabr'skiy,RU,54.4815,53.471,-6.23,87,100,13.94,1612757948
342,Severo-Kuril'sk,RU,50.6789,156.125,25.07,91,23,14.83,1612757948
343,Mount Gambier,AU,-37.8333,140.7667,64.4,63,40,14.97,1612757949
344,Macroom,IE,51.9,-8.95,37.99,64,90,18.41,1612757949
345,Temerloh,MY,3.4483,102.4176,89.19,52,30,4.12,1612757949
346,Sar-e Pul,AF,35.8333,66.1667,49.48,50,97,10.11,1612757949
347,Zabul Province,AF,32.25,67.25,47.71,43,0,2.8,1612757950
348,Pundaguitan,PH,6.3711,126.1689,80.35,78,100,5.19,1612757950
349,Dekar,BW,-21.5333,21.9333,64.8,90,95,5.5,1612757950
350,Cayenne,GF,4.9333,-52.3333,78.8,89,75,5.75,1612757470
351,Patnāgarh,IN,20.7167,83.15,69.62,26,7,5.1,1612757950
352,Nabire,ID,-3.3667,135.4833,87.94,60,77,6.55,1612757951
353,Altay,CN,47.8667,88.1167,28.87,85,20,3.11,1612757951
